year,winners,category
2004,The Lord of the Rings: The Return of the King,Best Sound Mixing
2004,The Lord of the Rings: The Return of the King,Best Film Editing
2004,The Lord of the Rings: The Return of the King,Best Makeup
2004,The Lord of the Rings: The Return of the King,"Best Music, Original Song"
2004,The Lord of the Rings: The Return of the King,"Best Music, Original Score"
2004,Harvie Krumpet,"Best Short Film, Animated"
2004,Two Soldiers,"Best Short Film, Live Action"
2004,Chernobyl Heart,"Best Documentary, Short Subjects"
2004,The Fog of War,"Best Documentary, Features"
2004,Finding Nemo,Best Animated Feature
2004,The Lord of the Rings: The Return of the King,Best Visual Effects
2004,The Lord of the Rings: The Return of the King,Best Art Direction-Set Decoration
2004,Peter Jackson,Best Director
2005,Million Dollar Baby,Best Motion Picture of the Year
2005,Jamie Foxx,Best Performance by an Actor in a Leading Role
2005,Hilary Swank,Best Performance by an Actress in a Leading Role
2005,Morgan Freeman,Best Performance by an Actor in a Supporting Role
2005,Cate Blanchett,Best Performance by an Actress in a Supporting Role
2005,Clint Eastwood,Best Achievement in Directing
2005,Eternal Sunshine of the Spotless Mind,"Best Writing, Original Screenplay"
2005,Sideways,"Best Writing, Adapted Screenplay"
2005,The Aviator,Best Achievement in Cinematography
2005,The Aviator,Best Achievement in Art Direction
2005,The Aviator,Best Achievement in Film Editing
2005,The Aviator,Best Achievement in Costume Design
2005,The Motorcycle Diaries,"Best Achievement in Music Written for Motion Pictures, Original Song"
2005,Finding Neverland,"Best Achievement in Music Written for Motion Pictures, Original Score"
2005,Ray,Best Achievement in Sound Mixing
2005,The Incredibles,Best Achievement in Sound Editing
2005,Spider-Man 2,Best Achievement in Visual Effects
2005,Ryan,"Best Short Film, Animated"
2005,Wasp,"Best Short Film, Live Action"
2005,Mighty Times: The Children's March,"Best Documentary, Short Subjects"
2005,Born Into Brothels: Calcutta's Red Light Kids,"Best Documentary, Features"
2005,The Sea Inside,Best Foreign Language Film of the Year
2005,The Incredibles,Best Animated Feature Film of the Year
2005,A Series of Unfortunate Events,Best Achievement in Makeup
2006,Crash,Best Motion Picture of the Year
2006,Philip Seymour Hoffman,Best Performance by an Actor in a Leading Role
2006,Reese Witherspoon,Best Performance by an Actress in a Leading Role
2006,George Clooney,Best Performance by an Actor in a Supporting Role
2006,Rachel Weisz,Best Performance by an Actress in a Supporting Role
2006,Ang Lee,Best Achievement in Directing
2006,Crash,"Best Writing, Original Screenplay"
2006,Brokeback Mountain,"Best Writing, Adapted Screenplay"
2006,Memoirs of a Geisha,Best Achievement in Cinematography
2006,Memoirs of a Geisha,Best Achievement in Art Direction
2006,Crash,Best Achievement in Film Editing
2006,Memoirs of a Geisha,Best Achievement in Costume Design
2006,Hustle & Flow,"Best Achievement in Music Written for Motion Pictures, Original Song"
2006,Brokeback Mountain,"Best Achievement in Music Written for Motion Pictures, Original Score"
2006,King Kong,Best Achievement in Sound Mixing
2006,King Kong,Best Achievement in Sound Editing
2006,King Kong,Best Achievement in Visual Effects
2006,The Moon and the Son: An Imagined Conversation,"Best Short Film, Animated"
2006,Six Shooter,"Best Short Film, Live Action"
2006,A Note of Triumph: The Golden Age of Norman Corwin,"Best Documentary, Short Subjects"
2006,March of the Penguins,"Best Documentary, Features"
2006,Tsotsi,Best Foreign Language Film of the Year
2006,Wallace & Gromit: The Curse of the Were-Rabbit,Best Animated Feature Film of the Year
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Best Achievement in Makeup
2007,The Departed,Best Motion Picture of the Year
2007,Forest Whitaker,Best Performance by an Actor in a Leading Role
2007,Helen Mirren,Best Performance by an Actress in a Leading Role
2007,Alan Arkin,Best Performance by an Actor in a Supporting Role
2007,Jennifer Hudson,Best Performance by an Actress in a Supporting Role
2007,Martin Scorsese,Best Achievement in Directing
2007,Little Miss Sunshine,"Best Writing, Original Screenplay"
2007,The Departed,"Best Writing, Adapted Screenplay"
2007,Pan's Labyrinth,Best Achievement in Cinematography
2007,Pan's Labyrinth,Best Achievement in Art Direction
2007,The Departed,Best Achievement in Film Editing
2007,Marie Antoinette,Best Achievement in Costume Design
2007,An Inconvenient Truth,"Best Achievement in Music Written for Motion Pictures, Original Song"
2007,Babel,"Best Achievement in Music Written for Motion Pictures, Original Score"
2007,Dreamgirls,Best Achievement in Sound Mixing
2007,Letters from Iwo Jima,Best Achievement in Sound Editing
2007,Pirates of the Caribbean: Dead Man's Chest,Best Achievement in Visual Effects
2007,The Danish Poet,"Best Short Film, Animated"
2007,West Bank Story,"Best Short Film, Live Action"
2007,The Blood of Yingzhou District,"Best Documentary, Short Subjects"
2007,An Inconvenient Truth,"Best Documentary, Features"
2007,The Lives of Others,Best Foreign Language Film of the Year
2007,Happy Feet,Best Animated Feature Film of the Year
2007,Pan's Labyrinth,Best Achievement in Makeup
2008,No Country for Old Men,Best Motion Picture of the Year
2008,Daniel Day-Lewis,Best Performance by an Actor in a Leading Role
2008,Marion Cotillard,Best Performance by an Actress in a Leading Role
2008,Javier Bardem,Best Performance by an Actor in a Supporting Role
2008,Tilda Swinton,Best Performance by an Actress in a Supporting Role
2008,Ethan Coen,Best Achievement in Directing
2008,Joel Coen,Best Achievement in Directing
2008,Juno,"Best Writing, Original Screenplay"
2008,No Country for Old Men,"Best Writing, Adapted Screenplay"
2008,There Will Be Blood,Best Achievement in Cinematography
2008,Sweeney Todd: The Demon Barber of Fleet Street,Best Achievement in Art Direction
2008,The Bourne Ultimatum,Best Achievement in Film Editing
2008,Elizabeth: The Golden Age,Best Achievement in Costume Design
2008,Once,"Best Achievement in Music Written for Motion Pictures, Original Song"
2008,Atonement,"Best Achievement in Music Written for Motion Pictures, Original Score"
2008,The Bourne Ultimatum,Best Achievement in Sound Mixing
2008,The Bourne Ultimatum,Best Achievement in Sound Editing
2008,The Golden Compass,Best Achievement in Visual Effects
2008,Peter and The Wolf,"Best Short Film, Animated"
2008,The Mozart of Pickpockets,"Best Short Film, Live Action"
2008,Freeheld,"Best Documentary, Short Subjects"
2008,Taxi to the Dark Side,"Best Documentary, Features"
2008,The Counterfeiters,Best Foreign Language Film of the Year
2008,Ratatouille,Best Animated Feature Film of the Year
2008,La Vie en Rose,Best Achievement in Makeup
2009,Slumdog Millionaire,Best Motion Picture of the Year
2009,Sean Penn,Best Performance by an Actor in a Leading Role
2009,Kate Winslet,Best Performance by an Actress in a Leading Role
2009,Heath Ledger,Best Performance by an Actor in a Supporting Role
2009,Penélope Cruz,Best Performance by an Actress in a Supporting Role
2009,Danny Boyle,Best Achievement in Directing
2009,Milk,"Best Writing, Original Screenplay"
2009,Slumdog Millionaire,"Best Writing, Adapted Screenplay"
2009,Slumdog Millionaire,Best Achievement in Cinematography
2009,The Curious Case of Benjamin Button,Best Achievement in Art Direction
2009,Slumdog Millionaire,Best Achievement in Film Editing
2009,The Duchess,Best Achievement in Costume Design
2009,Slumdog Millionaire,"Best Achievement in Music Written for Motion Pictures, Original Song"
2009,Slumdog Millionaire,"Best Achievement in Music Written for Motion Pictures, Original Score"
2009,Slumdog Millionaire,Best Achievement in Sound Mixing
2009,The Dark Knight,Best Achievement in Sound Editing
2009,The Curious Case of Benjamin Button,Best Achievement in Visual Effects
2009,The House of Small Cubes,"Best Short Film, Animated"
2009,Toyland,"Best Short Film, Live Action"
2009,Smile Pinki,"Best Documentary, Short Subject"
2009,Man on Wire,"Best Documentary, Features"
2009,Departures,Best Foreign Language Film of the Year
2009,WALL·E,Best Animated Feature Film of the Year
2009,The Curious Case of Benjamin Button,Best Achievement in Makeup
2010,The Hurt Locker,Best Motion Picture of the Year
2010,Jeff Bridges,Best Performance by an Actor in a Leading Role
2010,Sandra Bullock,Best Performance by an Actress in a Leading Role
2010,Christoph Waltz,Best Performance by an Actor in a Supporting Role
2010,Mo'Nique,Best Performance by an Actress in a Supporting Role
2010,Kathryn Bigelow,Best Achievement in Directing
2010,The Hurt Locker,"Best Writing, Original Screenplay"
2010,Precious,"Best Writing, Adapted Screenplay"
2010,Avatar,Best Achievement in Cinematography
2010,Avatar,Best Achievement in Art Direction
2010,The Hurt Locker,Best Achievement in Film Editing
2010,The Young Victoria,Best Achievement in Costume Design
2010,Crazy Heart,"Best Achievement in Music Written for Motion Pictures, Original Song"
2010,Up,"Best Achievement in Music Written for Motion Pictures, Original Score"
2010,The Hurt Locker,Best Achievement in Sound Mixing
2010,The Hurt Locker,Best Achievement in Sound Editing
2010,Avatar,Best Achievement in Visual Effects
2010,Logorama,"Best Short Film, Animated"
2010,The New Tenants,"Best Short Film, Live Action"
2010,Music by Prudence,"Best Documentary, Short Subjects"
2010,The Cove,"Best Documentary, Features"
2010,The Secret in Their Eyes,Best Foreign Language Film of the Year
2010,Up,Best Animated Feature Film of the Year
2010,Star Trek,Best Achievement in Makeup
2011,The King's Speech,Best Motion Picture of the Year
2011,Colin Firth,Best Performance by an Actor in a Leading Role
2011,Natalie Portman,Best Performance by an Actress in a Leading Role
2011,Christian Bale,Best Performance by an Actor in a Supporting Role
2011,Melissa Leo,Best Performance by an Actress in a Supporting Role
2011,Tom Hooper,Best Achievement in Directing
2011,The King's Speech,"Best Writing, Original Screenplay"
2011,The Social Network,"Best Writing, Adapted Screenplay"
2011,Inception,Best Achievement in Cinematography
2011,Alice in Wonderland,Best Achievement in Art Direction
2011,The Social Network,Best Achievement in Film Editing
2011,Alice in Wonderland,Best Achievement in Costume Design
2011,Toy Story 3,"Best Achievement in Music Written for Motion Pictures, Original Song"
2011,The Social Network,"Best Achievement in Music Written for Motion Pictures, Original Score"
2011,Inception,Best Achievement in Sound Mixing
2011,Inception,Best Achievement in Sound Editing
2011,Inception,Best Achievement in Visual Effects
2011,The Lost Thing,"Best Short Film, Animated"
2011,God of Love,"Best Short Film, Live Action"
2011,Strangers No More,"Best Documentary, Short Subjects"
2011,Inside Job,"Best Documentary, Features"
2011,In a Better World,Best Foreign Language Film of the Year
2011,Toy Story 3,Best Animated Feature Film of the Year
2011,The Wolfman,Best Achievement in Makeup
2012,The Artist,Best Motion Picture of the Year
2012,Jean Dujardin,Best Performance by an Actor in a Leading Role
2012,Meryl Streep,Best Performance by an Actress in a Leading Role
2012,Christopher Plummer,Best Performance by an Actor in a Supporting Role
2012,Octavia Spencer,Best Performance by an Actress in a Supporting Role
2012,Michel Hazanavicius,Best Achievement in Directing
2012,Midnight in Paris,"Best Writing, Original Screenplay"
2012,The Descendants,"Best Writing, Adapted Screenplay"
2012,Hugo,Best Achievement in Cinematography
2012,Hugo,Best Achievement in Art Direction
2012,The Girl with the Dragon Tattoo,Best Achievement in Film Editing
2012,The Artist,Best Achievement in Costume Design
2012,The Muppets,"Best Achievement in Music Written for Motion Pictures, Original Song"
2012,The Artist,"Best Achievement in Music Written for Motion Pictures, Original Score"
2012,Hugo,Best Achievement in Sound Mixing
2012,Hugo,Best Achievement in Sound Editing
2012,Hugo,Best Achievement in Visual Effects
2012,The Fantastic Flying Books of Mr. Morris Lessmore,"Best Short Film, Animated"
2012,The Shore,"Best Short Film, Live Action"
2012,Saving Face,"Best Documentary, Short Subjects"
2012,Undefeated,"Best Documentary, Features"
2012,A Separation,Best Foreign Language Film of the Year
2012,Rango,Best Animated Feature Film of the Year
2012,The Iron Lady,Best Achievement in Makeup
2013,Argo,Best Motion Picture of the Year
2013,Daniel Day-Lewis,Best Performance by an Actor in a Leading Role
2013,Jennifer Lawrence,Best Performance by an Actress in a Leading Role
2013,Christoph Waltz,Best Performance by an Actor in a Supporting Role
2013,Anne Hathaway,Best Performance by an Actress in a Supporting Role
2013,Ang Lee,Best Achievement in Directing
2013,Django Unchained,"Best Writing, Original Screenplay"
2013,Argo,"Best Writing, Adapted Screenplay"
2013,Life of Pi,Best Achievement in Cinematography
2013,Argo,Best Achievement in Film Editing
2013,Lincoln,Best Achievement in Production Design
2013,Anna Karenina,Best Achievement in Costume Design
2013,Les Misérables,Best Achievement in Makeup and Hairstyling
2013,Skyfall,"Best Achievement in Music Written for Motion Pictures, Original Song"
2013,Life of Pi,"Best Achievement in Music Written for Motion Pictures, Original Score"
2013,Les Misérables,Best Achievement in Sound Mixing
2013,Skyfall,Best Achievement in Sound Editing
2013,Life of Pi,Best Achievement in Visual Effects
2013,Paperman,"Best Short Film, Animated"
2013,Curfew,"Best Short Film, Live Action"
2013,Inocente,"Best Documentary, Short Subjects"
2013,Searching for Sugar Man,"Best Documentary, Features"
2013,Amour,Best Foreign Language Film of the Year
2013,Brave,Best Animated Feature
2014,12 Years a Slave,Best Motion Picture of the Year
2014,Matthew McConaughey,Best Performance by an Actor in a Leading Role
2014,Cate Blanchett,Best Performance by an Actress in a Leading Role
2014,Jared Leto,Best Performance by an Actor in a Supporting Role
2014,Lupita Nyong'o,Best Performance by an Actress in a Supporting Role
2014,Alfonso Cuarón,Best Achievement in Directing
2014,Her,"Best Writing, Original Screenplay"
2014,12 Years a Slave,"Best Writing, Adapted Screenplay"
2014,Gravity,Best Achievement in Cinematography
2014,Gravity,Best Achievement in Film Editing
2014,The Great Gatsby,Best Achievement in Production Design
2014,The Great Gatsby,Best Achievement in Costume Design
2014,Dallas Buyers Club,Best Achievement in Makeup and Hairstyling
2014,Frozen,"Best Achievement in Music Written for Motion Pictures, Original Song"
2014,Gravity,"Best Achievement in Music Written for Motion Pictures, Original Score"
2014,Gravity,Best Achievement in Sound Mixing
2014,Gravity,Best Achievement in Sound Editing
2014,Gravity,Best Achievement in Visual Effects
2014,Mr Hublot,"Best Short Film, Animated"
2014,Helium,"Best Short Film, Live Action"
2014,The Lady in Number 6: Music Saved My Life,"Best Documentary, Short Subjects"
2014,20 Feet from Stardom,"Best Documentary, Features"
2014,The Great Beauty,Best Foreign Language Film of the Year
2014,Frozen,Best Animated Feature Film of the Year
2015,Birdman or (The Unexpected Virtue of Ignorance),Best Motion Picture of the Year
2015,Eddie Redmayne,Best Performance by an Actor in a Leading Role
2015,Julianne Moore,Best Performance by an Actress in a Leading Role
2015,J.K. Simmons,Best Performance by an Actor in a Supporting Role
2015,Patricia Arquette,Best Performance by an Actress in a Supporting Role
2015,Alejandro G. Iñárritu,Best Achievement in Directing
2015,Birdman or (The Unexpected Virtue of Ignorance),"Best Writing, Original Screenplay"
2015,The Imitation Game,"Best Writing, Adapted Screenplay"
2015,Birdman or (The Unexpected Virtue of Ignorance),Best Achievement in Cinematography
2015,Whiplash,Best Achievement in Film Editing
2015,The Grand Budapest Hotel,Best Achievement in Production Design
2015,The Grand Budapest Hotel,Best Achievement in Costume Design
2015,The Grand Budapest Hotel,Best Achievement in Makeup and Hairstyling
2015,Selma,"Best Achievement in Music Written for Motion Pictures, Original Song"
2015,The Grand Budapest Hotel,"Best Achievement in Music Written for Motion Pictures, Original Score"
2015,Whiplash,Best Achievement in Sound Mixing
2015,American Sniper,Best Achievement in Sound Editing
2015,Interstellar,Best Achievement in Visual Effects
2015,Feast,"Best Short Film, Animated"
2015,The Phone Call,"Best Short Film, Live Action"
2015,Crisis Hotline: Veterans Press 1,"Best Documentary, Short Subject"
2015,Citizenfour,"Best Documentary, Feature"
2015,Ida,Best Foreign Language Film of the Year
2015,Big Hero 6,Best Animated Feature Film of the Year
2016,Spotlight,Best Motion Picture of the Year
2016,Leonardo DiCaprio,Best Performance by an Actor in a Leading Role
2016,Brie Larson,Best Performance by an Actress in a Leading Role
2016,Mark Rylance,Best Performance by an Actor in a Supporting Role
2016,Alicia Vikander,Best Performance by an Actress in a Supporting Role
2016,Alejandro G. Iñárritu,Best Achievement in Directing
2016,Spotlight,"Best Writing, Original Screenplay"
2016,The Big Short,"Best Writing, Adapted Screenplay"
2016,The Revenant,Best Achievement in Cinematography
2016,Mad Max: Fury Road,Best Achievement in Film Editing
2016,Mad Max: Fury Road,Best Achievement in Production Design
2016,Mad Max: Fury Road,Best Achievement in Costume Design
2016,Mad Max: Fury Road,Best Achievement in Makeup and Hairstyling
2016,Spectre,"Best Achievement in Music Written for Motion Pictures, Original Song"
2016,The Hateful Eight,"Best Achievement in Music Written for Motion Pictures, Original Score"
2016,Mad Max: Fury Road,Best Achievement in Sound Mixing
2016,Mad Max: Fury Road,Best Achievement in Sound Editing
2016,Ex Machina,Best Achievement in Visual Effects
2016,Bear Story,"Best Short Film, Animated"
2016,Stutterer,"Best Short Film, Live Action"
2016,A Girl in the River: The Price of Forgiveness,"Best Documentary, Short Subject"
2016,Amy,"Best Documentary, Feature"
2016,Son of Saul,Best Foreign Language Film of the Year
2016,Inside Out,Best Animated Feature Film of the Year
2017,Moonlight,Best Motion Picture of the Year
2017,Casey Affleck,Best Performance by an Actor in a Leading Role
2017,Emma Stone,Best Performance by an Actress in a Leading Role
2017,Mahershala Ali,Best Performance by an Actor in a Supporting Role
2017,Viola Davis,Best Performance by an Actress in a Supporting Role
2017,Damien Chazelle,Best Achievement in Directing
2017,Manchester by the Sea,Best Original Screenplay
2017,Moonlight,Best Adapted Screenplay
2017,La La Land,Best Achievement in Cinematography
2017,Hacksaw Ridge,Best Achievement in Film Editing
2017,La La Land,Best Achievement in Production Design
2017,Fantastic Beasts and Where to Find Them,Best Achievement in Costume Design
2017,Suicide Squad,Best Achievement in Makeup and Hairstyling
2017,La La Land,Best Achievement in Music Written for Motion Pictures (Original Score)
2017,La La Land,Best Achievement in Music Written for Motion Pictures (Original Song)
2017,Hacksaw Ridge,Best Achievement in Sound Mixing
2017,Arrival,Best Achievement in Sound Editing
2017,The Jungle Book,Best Achievement in Visual Effects
2017,O.J.: Made in America,Best Documentary Feature
2017,The White Helmets,Best Documentary Short Subject
2017,Piper,Best Animated Short Film
2017,Sing,Best Live Action Short Film
2017,The Salesman,Best Foreign Language Film of the Year
2017,Zootopia,Best Animated Feature Film of the Year
2018,The Shape of Water,Best Motion Picture of the Year
2018,Gary Oldman,Best Performance by an Actor in a Leading Role
2018,Frances McDormand,Best Performance by an Actress in a Leading Role
2018,Sam Rockwell,Best Performance by an Actor in a Supporting Role
2018,Allison Janney,Best Performance by an Actress in a Supporting Role
2018,Guillermo del Toro,Best Achievement in Directing
2018,Get Out,Best Original Screenplay
2018,Call Me by Your Name,Best Adapted Screenplay
2018,Blade Runner 2049,Best Achievement in Cinematography
2018,Dunkirk,Best Achievement in Film Editing
2018,The Shape of Water,Best Achievement in Production Design
2018,Phantom Thread,Best Achievement in Costume Design
2018,Darkest Hour,Best Achievement in Makeup and Hairstyling
2018,The Shape of Water,Best Achievement in Music Written for Motion Pictures (Original Score)
2018,Coco,Best Achievement in Music Written for Motion Pictures (Original Song)
2018,Dunkirk,Best Achievement in Sound Mixing
2018,Dunkirk,Best Achievement in Sound Editing
2018,Blade Runner 2049,Best Achievement in Visual Effects
2018,Icarus,Best Documentary Feature
2018,Heaven Is a Traffic Jam on the 405,Best Documentary Short Subject
2018,Coco,Best Animated Feature Film
2018,Dear Basketball,Best Animated Short Film
2018,The Silent Child,Best Live Action Short Film
2018,A Fantastic Woman,Best Foreign Language Film of the Year
2019,Green Book,Best Motion Picture of the Year
2019,Rami Malek,Best Performance by an Actor in a Leading Role
2019,Olivia Colman,Best Performance by an Actress in a Leading Role
2019,Mahershala Ali,Best Performance by an Actor in a Supporting Role
2019,Regina King,Best Performance by an Actress in a Supporting Role
2019,Alfonso Cuarón,Best Achievement in Directing
2019,Green Book,Best Original Screenplay
2019,BlacKkKlansman,Best Adapted Screenplay
2019,Roma,Best Achievement in Cinematography
2019,Bohemian Rhapsody,Best Achievement in Film Editing
2019,Black Panther,Best Achievement in Production Design
2019,Black Panther,Best Achievement in Costume Design
2019,Vice,Best Achievement in Makeup and Hairstyling
2019,Black Panther,Best Achievement in Music Written for Motion Pictures (Original Score)
2019,A Star Is Born,Best Achievement in Music Written for Motion Pictures (Original Song)
2019,Bohemian Rhapsody,Best Achievement in Sound Mixing
2019,Bohemian Rhapsody,Best Achievement in Sound Editing
2019,First Man,Best Achievement in Visual Effects
2019,Free Solo,Best Documentary Feature
2019,Period. End of Sentence.,Best Documentary Short Subject
2019,Spider-Man: Into the Spider-Verse,Best Animated Feature Film
2019,Bao,Best Animated Short Film
2019,Skin,Best Live Action Short Film
2019,Roma,Best Foreign Language Film of the Year
2020,Parasite,Best Motion Picture of the Year
2020,Joaquin Phoenix,Best Performance by an Actor in a Leading Role
2020,Renée Zellweger,Best Performance by an Actress in a Leading Role
2020,Brad Pitt,Best Performance by an Actor in a Supporting Role
2020,Laura Dern,Best Performance by an Actress in a Supporting Role
2020,Bong Joon Ho,Best Achievement in Directing
2020,Parasite,Best Original Screenplay
2020,Jojo Rabbit,Best Adapted Screenplay
2020,1917,Best Achievement in Cinematography
2020,Andrew Buckland,Best Achievement in Film Editing
2020,Michael McCusker,Best Achievement in Film Editing
2020,Once Upon a Time in Hollywood,Best Achievement in Production Design
2020,Little Women,Best Achievement in Costume Design
2020,Bombshell,Best Achievement in Makeup and Hairstyling
2020,Joker,Best Achievement in Music Written for Motion Pictures (Original Score)
2020,Rocketman,Best Achievement in Music Written for Motion Pictures (Original Song)
2020,1917,Best Achievement in Sound Mixing
2020,Ford v Ferrari,Best Achievement in Sound Editing
2020,1917,Best Achievement in Visual Effects
2020,American Factory,Best Documentary Feature
2020,Learning to Skateboard in a Warzone (If You're a Girl),Best Documentary Short Subject
2020,Toy Story 4,Best Animated Feature Film
2020,Hair Love,Best Animated Short Film
2020,The Neighbors' Window,Best Live Action Short Film
2020,Parasite,Best International Feature Film
2021,Nomadland,Best Motion Picture of the Year
2021,Anthony Hopkins,Best Performance by an Actor in a Leading Role
2021,Frances McDormand,Best Performance by an Actress in a Leading Role
2021,Daniel Kaluuya,Best Performance by an Actor in a Supporting Role
2021,Youn Yuh-jung,Best Performance by an Actress in a Supporting Role
2021,Chloé Zhao,Best Achievement in Directing
2021,Promising Young Woman,Best Original Screenplay
2021,The Father,Best Adapted Screenplay
2021,Mank,Best Achievement in Cinematography
2021,Sound of Metal,Best Achievement in Film Editing
2021,Mank,Best Achievement in Production Design
2021,Ma Rainey's Black Bottom,Best Achievement in Costume Design
2021,Sound of Metal,Best Sound
2021,Ma Rainey's Black Bottom,Best Achievement in Makeup and Hairstyling
2021,Soul,Best Achievement in Music Written for Motion Pictures (Original Score)
2021,Judas and the Black Messiah,Best Achievement in Music Written for Motion Pictures (Original Song)
2021,Tenet,Best Achievement in Visual Effects
2021,My Octopus Teacher,Best Documentary Feature
2021,Colette,Best Documentary Short Subject
2021,Soul,Best Animated Feature Film
2021,If Anything Happens I Love You,Best Animated Short Film
2021,Two Distant Strangers,Best Live Action Short Film
2021,Another Round,Best International Feature Film
2022,CODA,Best Motion Picture of the Year
2022,Will Smith,Best Performance by an Actor in a Leading Role
2022,Jessica Chastain,Best Performance by an Actress in a Leading Role
2022,Troy Kotsur,Best Performance by an Actor in a Supporting Role
2022,Ariana DeBose,Best Performance by an Actress in a Supporting Role
2022,Jane Campion,Best Achievement in Directing
2022,Belfast,Best Original Screenplay
2022,CODA,Best Adapted Screenplay
2022,Dune,Best Achievement in Cinematography
2022,Dune,Best Achievement in Film Editing
2022,Dune,Best Achievement in Production Design
2022,Cruella,Best Achievement in Costume Design
2022,Dune,Best Sound
2022,The Eyes of Tammy Faye,Best Achievement in Makeup and Hairstyling
2022,Dune,Best Achievement in Music Written for Motion Pictures (Original Score)
2022,No Time to Die,Best Achievement in Music Written for Motion Pictures (Original Song)
2022,Dune,Best Achievement in Visual Effects
2022,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",Best Documentary Feature
2022,The Queen of Basketball,Best Documentary Short Subject
2022,Encanto,Best Animated Feature Film
2022,The Windshield Wiper,Best Animated Short Film
2022,The Long Goodbye,Best Live Action Short Film
2022,Drive My Car,Best International Feature Film
