year,winners,category
1944,This Is the Army,"Best Music, Scoring of a Musical Picture"
1944,Casablanca,Best Picture
1944,Mouse at War,"Best Short Subject, Cartoons"
1944,Amphibious Fighters,"Best Short Subject, One-reel"
1944,Heavenly Music,"Best Short Subject, Two-reel"
1944,This Land Is Mine,"Best Sound, Recording"
1944,Princess O'Rourke,"Best Writing, Original Screenplay"
1944,The Human Comedy,"Best Writing, Original Story"
1944,Casablanca,"Best Writing, Screenplay"
1945,Bing Crosby,Best Actor in a Leading Role
1945,Barry Fitzgerald,Best Actor in a Supporting Role
1945,Ingrid Bergman,Best Actress in a Leading Role
1945,Ethel Barrymore,Best Actress in a Supporting Role
1945,Gaslight,"Best Art Direction-Interior Decoration, Black-and-White"
1945,Wilson,"Best Art Direction-Interior Decoration, Color"
1945,Laura,"Best Cinematography, Black-and-White"
1945,Wilson,"Best Cinematography, Color"
1945,Leo McCarey,Best Director
1945,The Fighting Lady,"Best Documentary, Features"
1945,With the Marines at Tarawa,"Best Documentary, Short Subjects"
1945,Thirty Seconds Over Tokyo,"Best Effects, Special Effects"
1945,Wilson,Best Film Editing
1945,Going My Way,"Best Music, Original Song"
1945,Since You Went Away,"Best Music, Scoring of a Dramatic or Comedy Picture"
1945,Cover Girl,"Best Music, Scoring of a Musical Picture"
1945,Going My Way,Best Picture
1945,Mouse Trouble,"Best Short Subject, Cartoons"
1945,Who's Who in Animal Land,"Best Short Subject, One-reel"
1945,I Won't Play,"Best Short Subject, Two-reel"
1945,Wilson,"Best Sound, Recording"
1945,Wilson,"Best Writing, Original Screenplay"
1945,Going My Way,"Best Writing, Original Story"
1945,Going My Way,"Best Writing, Screenplay"
1946,Ray Milland,Best Actor in a Leading Role
1946,James Dunn,Best Actor in a Supporting Role
1946,Joan Crawford,Best Actress in a Leading Role
1946,Anne Revere,Best Actress in a Supporting Role
1946,Blood on the Sun,"Best Art Direction-Interior Decoration, Black-and-White"
1946,Frenchman's Creek,"Best Art Direction-Interior Decoration, Color"
1946,The Picture of Dorian Gray,"Best Cinematography, Black-and-White"
1946,Leave Her to Heaven,"Best Cinematography, Color"
1946,Billy Wilder,Best Director
1946,The True Glory,"Best Documentary, Features"
1946,Hitler Lives,"Best Documentary, Short Subjects"
1946,Wonder Man,"Best Effects, Special Effects"
1946,National Velvet,Best Film Editing
1946,State Fair,"Best Music, Original Song"
1946,Spellbound,"Best Music, Scoring of a Dramatic or Comedy Picture"
1946,Anchors Aweigh,"Best Music, Scoring of a Musical Picture"
1946,The Lost Weekend,Best Picture
1946,Quiet Please!,"Best Short Subject, Cartoons"
1946,Stairway to Light,"Best Short Subject, One-reel"
1946,Star in the Night,"Best Short Subject, Two-reel"
1946,The Bells of St. Mary's,"Best Sound, Recording"
1946,Marie-Louise,"Best Writing, Original Screenplay"
1946,The House on 92nd Street,"Best Writing, Original Story"
1946,The Lost Weekend,"Best Writing, Screenplay"
1947,Fredric March,Best Actor in a Leading Role
1947,Harold Russell,Best Actor in a Supporting Role
1947,Olivia de Havilland,Best Actress in a Leading Role
1947,Anne Baxter,Best Actress in a Supporting Role
1947,Anna and the King of Siam,"Best Art Direction-Interior Decoration, Black-and-White"
1947,The Yearling,"Best Art Direction-Interior Decoration, Color"
1947,Anna and the King of Siam,"Best Cinematography, Black-and-White"
1947,The Yearling,"Best Cinematography, Color"
1947,William Wyler,Best Director
1947,Seeds of Destiny,"Best Documentary, Short Subjects"
1947,Blithe Spirit,"Best Effects, Special Effects"
1947,The Best Years of Our Lives,Best Film Editing
1947,The Harvey Girls,"Best Music, Original Song"
1947,The Best Years of Our Lives,"Best Music, Scoring of a Dramatic or Comedy Picture"
1947,The Jolson Story,"Best Music, Scoring of a Musical Picture"
1947,The Best Years of Our Lives,Best Picture
1947,The Cat Concerto,"Best Short Subject, Cartoons"
1947,Facing Your Danger,"Best Short Subject, One-reel"
1947,A Boy and His Dog,"Best Short Subject, Two-reel"
